ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO
1998;OUT;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;63480
1998;NOV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;63510
1998;DEZ;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;61359
1998;JAN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3680
1998;FEV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3506
1998;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3450
1998;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3576
1998;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;3677
1998;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2962
1998;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2635
1998;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;1324
1998;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;1097
1998;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;1741
1998;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2297
1998;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;MAR;2339
1998;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13175
1998;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;9580
1998;MAR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13175
1998;ABR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12190
1998;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13175
1998;JUN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;7386
1998;JUL;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;7968
1998;AGO;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13143
1998;SET;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12690
1998;OUT;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13113
1998;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12600
1998;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12480
1998;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;341570
1998;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;329389
1998;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;377677
1998;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;349033
1998;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;383554
1998;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;369922
1998;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;381777
1998;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;386748
1998;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;371483
1998;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;403859
1998;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;402808
1998;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GÁS NATURAL;MAR;446488
1998;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;219
1998;FEV;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;251
1998;MAR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;266
1998;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;259
1998;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;230
1998;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;MAR;205
